university_id,university_name,university_type,official_homepage_url,recruitment_page_url,source_url,source_type,retrieval_date,confidence_level,verification_status,notes
it-unibo,Università di Bologna,public,https://www.unibo.it/,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/,official_university_page,2026-05-17,high,verified,Homepage and recruitment hub identified on official domain.
it-unina,Università degli Studi di Napoli Federico II,public,https://www.unina.it/,https://www.unina.it/ateneo/concorsi/concorsi-personale-docente-e-ricercatore,https://www.unina.it/,official_university_page,2026-05-17,high,verified,Official concorsi page for personale docente/ricercatore identified.
it-unipd,Università degli Studi di Padova,public,https://www.unipd.it/,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/,official_university_page,2026-05-17,high,verified,Official concorsi page identified.
it-unipa,Università degli Studi di Palermo,public,https://www.unipa.it/,https://www.unipa.it/albo.html,https://www.unipa.it/,official_university_page,2026-05-17,medium,homepage_only,Homepage verified; recruitment evidence currently through official albo section.
it-unipi,Università di Pisa,public,https://www.unipi.it/,,https://www.unipi.it/,official_university_page,2026-05-17,high,needs_human_review,Homepage verified; dedicated recruitment landing not pinned in this pass.
it-unimi,Università degli Studi di Milano,public,https://www.unimi.it/,https://www.unimi.it/it/ateneo/lavora-con-noi/reclutamento-professori-e-ricercatori,https://www.unimi.it/,official_university_page,2026-05-17,high,verified,Official recruitment page for professors/researchers identified.
it-unito,Università degli Studi di Torino,public,https://www.unito.it/,https://www.unito.it/ateneo/lavora-con-noi,https://www.unito.it/,official_university_page,2026-05-17,medium,homepage_only,Official careers hub identified; concorsi subsection requires manual confirmation.
it-unirc,Università degli Studi Mediterranea di Reggio Calabria,public,https://www.unirc.it/,,https://www.unirc.it/,official_university_page,2026-05-17,high,needs_human_review,Homepage verified; recruitment URL not determinable in this pass.
it-unibocconi,Università Commerciale Luigi Bocconi,private,https://www.unibocconi.it/,https://www.unibocconi.it/it/docenti-e-ricerca/docenti/reclutamento-docenti/concorsi,https://www.unibocconi.it/,official_university_page,2026-05-17,high,verified,Official recruitment/concorsi page identified.
it-luiss,LUISS Guido Carli,private,https://www.luiss.it/,,https://www.luiss.it/,official_university_page,2026-05-17,medium,not_determinable,Homepage verified; stable recruitment index not determinable in this pass.
it-unifi,Università degli Studi di Firenze,public,https://www.unifi.it/,https://www.unifi.it/it/ateneo/lavora-con-noi.html,https://www.unifi.it/,official_university_page,2026-05-17,medium,homepage_only,Homepage verified and work-with-us landing identified; concorsi subpage to be confirmed.
it-unisi,Università degli Studi di Siena,public,https://www.unisi.it/,https://www.unisi.it/ateneo/concorsi,https://www.unisi.it/,official_university_page,2026-05-17,high,verified,Official concorsi section identified.
it-uniroma1,Sapienza Università di Roma,public,https://www.uniroma1.it/,https://www.uniroma1.it/it/pagina/concorsi,https://www.uniroma1.it/,official_university_page,2026-05-17,high,verified,Official concorsi page identified.
it-uniroma2,Università degli Studi di Roma Tor Vergata,public,https://web.uniroma2.it/,https://web.uniroma2.it/it/contenuto/concorsi,https://web.uniroma2.it/,official_university_page,2026-05-17,high,verified,Official concorsi page identified.
it-uniroma3,Università degli Studi Roma Tre,public,https://www.uniroma3.it/,https://www.uniroma3.it/ateneo/lavora-con-noi/,https://www.uniroma3.it/,official_university_page,2026-05-17,medium,homepage_only,Official careers hub identified; recruitment chain requires manual check.
it-unige,Università degli Studi di Genova,public,https://unige.it/,https://unige.it/lavora-con-noi,https://unige.it/,official_university_page,2026-05-17,medium,homepage_only,Homepage and careers page identified; procedure-level concorsi URL to verify.
it-unica,Università degli Studi di Cagliari,public,https://www.unica.it/,https://www.unica.it/it/ateneo/bandi-e-concorsi,https://www.unica.it/,official_university_page,2026-05-17,high,verified,Official bandi/concorsi section identified.
it-unict,Università degli Studi di Catania,public,https://www.unict.it/,https://www.unict.it/it/bandi/concorsi,https://www.unict.it/,official_university_page,2026-05-17,high,verified,Official concorsi page identified.
it-unive,Università Ca' Foscari Venezia,public,https://www.unive.it/,https://www.unive.it/pag/13526/,https://www.unive.it/,official_university_page,2026-05-17,medium,homepage_only,Official careers/selection area identified; exact concorsi granularity to review.
it-uninsubria,Università degli Studi dell'Insubria,public,https://www.uninsubria.it/,https://www.uninsubria.it/bandi-concorsi,https://www.uninsubria.it/,official_university_page,2026-05-17,high,verified,Official bandi/concorsi section identified.
it-unibg,Università degli Studi di Bergamo,public,https://www.unibg.it/,https://www.unibg.it/ateneo/concorsi-e-selezioni,https://www.unibg.it/,official_university_page,2026-05-17,high,verified,Official concorsi/selezioni page identified.
it-unibs,Università degli Studi di Brescia,public,https://www.unibs.it/,https://www.unibs.it/it/ateneo/concorsi,https://www.unibs.it/,official_university_page,2026-05-17,high,verified,Official concorsi page identified.
