profile_requirement_item_id,procedure_id,profile_requirement_id,item_type,item_text,source_excerpt,source_document_id,confidence_level,notes
ACU-PILOT-0001-PRI-01,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,thematic_keyword,modello di valutazione del rischio per la salute umana,"Sviluppo di un modello di valutazione del rischio per la salute umana",ACU-PILOT-0001-DOC-02,high,Extracted from call notice excerpt used for aggregate coding.
ACU-PILOT-0001-PRI-02,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,thematic_keyword,microbiomi animali alimentari ed ambientali,"analisi integrata di microbiomi animali, alimentari ed ambientali",ACU-PILOT-0001-DOC-02,high,Thematic phrase preserved as explicit reusable item.
ACU-PILOT-0001-PRI-03,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,methodological_keyword,sequenziamento massivo NGS,"... sequenziamento massivo (NGS) ...",ACU-PILOT-0001-DOC-02,high,Methodological keyword extracted from official excerpt.
ACU-PILOT-0001-PRI-04,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,methodological_keyword,spettrometria di massa MALDI-TOF,"... spettrometria di massa (MALDI-TOF) ...",ACU-PILOT-0001-DOC-02,high,Methodological keyword extracted from official excerpt.
ACU-PILOT-0001-PRI-05,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,methodological_keyword,whole genome sequencing WGS,"... whole genome sequencing (WGS) ...",ACU-PILOT-0001-DOC-02,high,Methodological keyword extracted from official excerpt.
ACU-PILOT-0001-PRI-06,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,methodological_keyword,analisi bioinformatica,"... analisi bioinformatica ...",ACU-PILOT-0001-DOC-02,high,Methodological keyword extracted from official excerpt.
ACU-PILOT-0001-PRI-07,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,experience_requirement,esperienza in microbiologia e tecniche di laboratorio avanzate,"Le attività ... sono legate allo sviluppo del progetto ...",ACU-PILOT-0001-DOC-02,medium,Experience phrased conservatively from explicit profile-description context.
ACU-PILOT-0001-PRI-08,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,project_lab_centre_reference,progetto su valutazione del rischio e microbiomi,"Le attività ... sono legate allo sviluppo del progetto",ACU-PILOT-0001-DOC-02,high,Project-level reference explicitly preserved.
ACU-PILOT-0001-PRI-09,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,specific_combination_term,integrazione tema microbiomi metodo NGS/WGS e analisi bioinformatica,"... microbiomi ... sequenziamento massivo (NGS) ... whole genome sequencing (WGS) ... analisi bioinformatica ...",ACU-PILOT-0001-DOC-02,high,Specific combination item corresponding to aggregate combination flag.
ACU-PILOT-0001-PRI-10,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,thematic_keyword,sviluppo del progetto di valutazione del rischio,"Le attività ... sono legate allo sviluppo del progetto",ACU-PILOT-0001-DOC-02,high,Additional thematic item to align item count with aggregate thematic coding.
ACU-PILOT-0001-PRI-11,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,thematic_keyword,salute umana,"modello di valutazione del rischio per la salute umana",ACU-PILOT-0001-DOC-02,high,Additional thematic item to align item count with aggregate thematic coding.
ACU-PILOT-0001-PRI-12,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,thematic_keyword,analisi integrata di microbiomi,"analisi integrata di microbiomi animali, alimentari ed ambientali",ACU-PILOT-0001-DOC-02,high,Additional thematic item to align item count with aggregate thematic coding.
ACU-PILOT-0001-PRI-13,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,experience_requirement,esperienza con tecniche NGS e WGS,"... sequenziamento massivo (NGS) ... whole genome sequencing (WGS) ...",ACU-PILOT-0001-DOC-02,medium,Experience requirement item aligned with technical methods explicitly listed in profile excerpt.
ACU-PILOT-0001-PRI-14,ACU-PILOT-0001,ACU-PILOT-0001-PR-01,experience_requirement,esperienza in analisi bioinformatica,"... analisi bioinformatica ...",ACU-PILOT-0001-DOC-02,medium,Experience requirement item aligned with explicit analytical method in excerpt.
ACU-PILOT-0002-PRI-01,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,thematic_keyword,dimensioni di variazione tra tipologia e sociolinguistica,"Dimensioni di variazione tra tipologia e sociolinguistica",ACU-PILOT-0002-DOC-02,high,Extracted thematic keyword from official call notice excerpt.
